Title,Pic,Summary,SID,Product Name,Rating,Scale,Author,Date,URL,Verdict
Govee Flow Plus Smart Light Bars Review: Colorful Affordable Fun,https://www.reviewgeek.com/p/uploads/2021/10/cdcef72d.png,"Ambient lighting is fun, but hardly a new addition to the smart lighting world. And while it’s easy to spend a small fortune on a decked-out immersive setup, you really don’t have to—at least that’s the thinking behind Govee’s terrific new Flow Plus Light Bars.",99597,Govee Flow Plus Smart Light Bars ,7.5,10,Suzanne Humphries,2021-10-18T09:00:26-04:00,https://www.reviewgeek.com/99597/govee-flow-plus-smart-light-bars-review-colorful-affordable-fun/,"The lights are recommended for TVs and displays under 45 inches, and they looked great with my 32-inch monitor and my 42-inch TV. I also set them up behind my 65-inch OLED during testing and was happy with the substantial gorgeous ambient glow they gave off, even with my tall ceilings and despite the TV being well over the recommended maximum size. They certainly made my movie nights more immersive!"
Vizio M Series Quantum (2022) Review: The King of the Midrange,https://www.reviewgeek.com/p/uploads/2021/10/ba5f6e89.jpg,"If you’re in the market for a new TV, you probably know that the Vizio M Series has long been one of the best lineups for the money. If you’re looking for a big TV that won’t break the bank, the 70-inch M Series Quantum (model # M70Q7-J03) is probably the best TV for the buck if you don’t care about reflection handling or need the newest gaming features.",99359,Vizio M Series Quantum (2022) ,9,10,Cameron Summerson,2021-10-12T09:00:52-04:00,https://www.reviewgeek.com/99359/vizio-m-series-quantum-2022-review-the-king-of-the-midrange/,"So, straight up: I really like the MQ7. I figured I’d be more than ready to get back to my PQX after the review period, but honestly, I’m not. I mean, yes, I "
Whirlwind FX ATOM Keyboard Review: A Few Bright Spots,https://www.reviewgeek.com/p/uploads/2021/09/6b35ad02.jpg,"While 60% keyboards can be tough to use for newcomers, they can save a lot of space and are very popular for it. But as more and more companies create compact boards like this, it’s getting harder to stand out. So, Whirlwind FX is attempting to do so with some nifty RGB features in the ATOM keyboard.",97471,Whirlwind FX ATOM Keyboard ,6,10,Eric Schoon,2021-10-19T09:00:48-04:00,https://www.reviewgeek.com/97471/whirlwind-fx-atom-keyboard-review-a-few-bright-spots/,"This keyboard only costs $50, so there are some hard limits Whirlwind is dealing with here, but the cheaper, unremarkable hardware of this keyboard isn’t doing it any favors. Combine that with my issues with the RGB effects, one of the keyboard’s main selling points, and I was disappointed by the ATOM overall."
Vizio V-Series 2.1 Soundbar V21d-J8 Review: The New Baseline,https://www.reviewgeek.com/p/uploads/2021/09/b08c5016.jpg,"After buying a new TV, the first thing you should do is grab a nice pair of speakers or a soundbar. As almost anything will sound better than the television’s built-in speakers, it’s not hard to find something that works. Fortunately, if you’re on a budget and still want quality sound, look no further than the Vizio V21d-J8 soundbar.",97994,Vizio V-Series 2.1 Soundbar V21d-J8 ,8,10,Justin Duino,2021-10-14T09:00:29-04:00,https://www.reviewgeek.com/97994/vizio-v-series-2-1-soundbar-v21d-j8-review-the-new-baseline/,"But the overall audio experience is everything I’d want from a soundbar that I don’t plan to use in my main entertainment space. Even at high volume levels, the dialog is easy to understand, and the background audio doesn’t get distorted. I wish there was more bass, but the built-in subs are fine for casual watching."
Liteboxer Review: Work Up a Sweat with This Full-Body Workout,https://www.reviewgeek.com/p/uploads/2021/09/047c75fb.jpg,"With the LED lights and fun scoring metrics, the Liteboxer may look like some smart dancing machine at first. And although it kind of is, it’s really a full-body boxing machine that lets you work out from the comfort of your home.",95790,Liteboxer ,8,10,Sarah Chaney,2021-10-02T09:00:57-04:00,https://www.reviewgeek.com/95790/liteboxer-review-work-up-a-sweat-with-this-full-body-workout/,"The Liteboxer isn’t cheap, either. For the "
Cyber Acoustics Essential Dock Review: Missing Some Essentials,https://www.reviewgeek.com/p/uploads/2021/10/45a6d501.jpg,"Earlier this year, I transitioned from being a desktop user to a full-time laptop user. A good dock is an essential tool for laptop users, and there’s no shortage of choices out there. Here’s the weird thing, though: It’s tough to find a good one.",99972,Cyber Acoustics Essential Dock ,6,10,Cameron Summerson,2021-10-21T09:00:32-04:00,https://www.reviewgeek.com/99972/cyber-acoustics-essential-dock-review-missing-some-essentials/,"Ultimately, I feel like there’s a specific crown this dock is for: If you don’t use USB, SD cards, or need an audio out, but "
Red Magic 6S Pro Review: A Solid Choice for Specific Mobile Gamers,https://www.reviewgeek.com/p/uploads/2021/09/528a669e.jpg,"Plenty of us, if not all of us, play mobile games. But did you know that there are phones that are optimized to handle demanding games with ease? That’s exactly what Red Magic’s 6S Pro claims to do, and it certainly delivers.",98251,Red Magic 6S Pro ,6,10,Sarah Chaney,2021-10-05T10:24:32-04:00,https://www.reviewgeek.com/98251/red-magic-6s-pro-review-a-solid-choice-for-specific-mobile-gamers/,"That said, playing "
HyperX SoloCast Review: A Tiny Mic with Tiny Problems,https://www.reviewgeek.com/p/uploads/2021/09/b81a469a.jpg,"HyperX has released a couple of microphones over the years, both squarely aimed at gamers. The smaller, more affordable SoloCast may not seem like much at first glance, but in the world of tiny microphones, it’s doing everything it needs to.",98945,HyperX SoloCast ,8,10,Eric Schoon,2021-10-07T09:00:56-04:00,https://www.reviewgeek.com/98945/hyperx-solocast-review-a-tiny-mic-with-tiny-problems/,"The SoloCast pretty much achieves what it sets out to do. It’s a compact microphone that delivers hardware and audio quality befitting of the price and not much else. Minor issues like the somewhat finicky mute button are pretty easy to ignore here, and this is a great affordable alternative to more expensive compact microphones."
Ray-Ban Stories Review: Get These Off My Face,https://www.reviewgeek.com/p/uploads/2021/10/3f218d19.jpg,"The Ray-Ban Stories, or “Facebook Glasses,” as many people will come to know them, are an interesting product: a pair of glasses that can play audio, take pictures, and shoot videos. It sounds cool in theory, but they’re of questionable usefulness, and Facebook’s involvement with them muddies the waters even more.",99822,Ray-Ban Stories ,3,10,Cameron Summerson,2021-10-08T09:00:03-04:00,https://www.reviewgeek.com/99822/ray-ban-stories-review-get-these-off-my-face/,"The audio experience is okay, but it’s not discreet enough, and it absolutely crushes the battery. The touch controls also suck. The glasses are overly tight yet somehow still don’t stay in place."
Jabra Elite 3 Review: Downright Impressive for Under $100,https://www.reviewgeek.com/p/uploads/2021/10/580134f6.png,"I’ve been a fan of Jabra’s earbuds for some time and love the newer 75t and 85t models, so I was stoked to get my hands on the latest buds from the company: the Jabra Elite 3. For half the cost of their predecessors, they’re a pretty awesome choice.",98129,Jabra Elite 3 ,8,10,Suzanne Humphries,2021-10-15T10:24:00-04:00,https://www.reviewgeek.com/98129/jabra-elite-3-review-downright-impressive-for-under-100/,"Packaging for the Jabra Elite 3 is simple and minimal, and there’s no wasteful excess. It’s made of sustainable "
